time            X               S               e2              Y               L              
3.066132265e+01 8.336154006e+00 8.336154006e+00 2.713029647e-03 1.661132964e+00 1.661132964e+00
3.126252505e+01 8.309075205e+00 8.309075205e+00 2.695430026e-03 1.688229365e+00 1.688229365e+00
3.186372745e+01 8.282171726e+00 8.282171726e+00 2.678001089e-03 1.715150273e+00 1.715150273e+00
3.246492986e+01 8.255441871e+00 8.255441871e+00 2.660740632e-03 1.741897388e+00 1.741897388e+00
3.306613226e+01 8.228883965e+00 8.228883965e+00 2.643646490e-03 1.768472388e+00 1.768472388e+00
3.366733467e+01 8.202496355e+00 8.202496355e+00 2.626716534e-03 1.794876929e+00 1.794876929e+00
3.426853707e+01 8.176277408e+00 8.176277408e+00 2.609948671e-03 1.821112643e+00 1.821112643e+00
3.486973948e+01 8.150225513e+00 8.150225513e+00 2.593340837e-03 1.847181146e+00 1.847181146e+00
3.547094188e+01 8.124339079e+00 8.124339079e+00 2.576891001e-03 1.873084030e+00 1.873084030e+00
3.607214429e+01 8.098616532e+00 8.098616532e+00 2.560597164e-03 1.898822871e+00 1.898822871e+00
3.667334669e+01 8.073056326e+00 8.073056326e+00 2.544457367e-03 1.924399217e+00 1.924399217e+00
3.727454910e+01 8.047656925e+00 8.047656925e+00 2.528469672e-03 1.949814605e+00 1.949814605e+00
3.787575150e+01 8.022416819e+00 8.022416819e+00 2.512632171e-03 1.975070549e+00 1.975070549e+00
3.847695391e+01 7.997334511e+00 7.997334511e+00 2.496942990e-03 2.000168546e+00 2.000168546e+00
3.907815631e+01 7.972408528e+00 7.972408528e+00 2.481400281e-03 2.025110072e+00 2.025110072e+00
3.967935872e+01 7.947637415e+00 7.947637415e+00 2.466002229e-03 2.049896583e+00 2.049896583e+00
4.028056112e+01 7.923019731e+00 7.923019731e+00 2.450747042e-03 2.074529522e+00 2.074529522e+00
4.088176353e+01 7.898554056e+00 7.898554056e+00 2.435632955e-03 2.099010311e+00 2.099010311e+00
4.148296593e+01 7.874238985e+00 7.874238985e+00 2.420658229e-03 2.123340357e+00 2.123340357e+00
4.208416834e+01 7.850073131e+00 7.850073131e+00 2.405821157e-03 2.147521048e+00 2.147521048e+00
4.268537074e+01 7.826055130e+00 7.826055130e+00 2.391120083e-03 2.171553750e+00 2.171553750e+00
4.328657315e+01 7.802183625e+00 7.802183625e+00 2.376553340e-03 2.195439822e+00 2.195439822e+00
4.388777555e+01 7.778457280e+00 7.778457280e+00 2.362119300e-03 2.219180600e+00 2.219180600e+00
4.448897796e+01 7.754874776e+00 7.754874776e+00 2.347816361e-03 2.242777408e+00 2.242777408e+00
4.509018036e+01 7.731434807e+00 7.731434807e+00 2.333642937e-03 2.266231550e+00 2.266231550e+00
4.569138277e+01 7.708136089e+00 7.708136089e+00 2.319597422e-03 2.289544313e+00 2.289544313e+00
4.629258517e+01 7.684977347e+00 7.684977347e+00 2.305678293e-03 2.312716974e+00 2.312716974e+00
4.689378758e+01 7.661957323e+00 7.661957323e+00 2.291884022e-03 2.335750793e+00 2.335750793e+00
4.749498998e+01 7.639074775e+00 7.639074775e+00 2.278213103e-03 2.358647012e+00 2.358647012e+00
4.809619238e+01 7.616328473e+00 7.616328473e+00 2.264664090e-03 2.381406862e+00 2.381406862e+00
4.869739479e+01 7.593717209e+00 7.593717209e+00 2.251235687e-03 2.404031556e+00 2.404031556e+00
4.929859719e+01 7.571239780e+00 7.571239780e+00 2.237926422e-03 2.426522293e+00 2.426522293e+00
4.989979960e+01 7.548895003e+00 7.548895003e+00 2.224734933e-03 2.448880262e+00 2.448880262e+00
5.050100200e+01 7.526681707e+00 7.526681707e+00 2.211659887e-03 2.471106633e+00 2.471106633e+00
5.110220441e+01 7.504598734e+00 7.504598734e+00 2.198699827e-03 2.493202567e+00 2.493202567e+00
5.170340681e+01 7.482644943e+00 7.482644943e+00 2.185853025e-03 2.515169204e+00 2.515169204e+00
5.230460922e+01 7.460819202e+00 7.460819202e+00 2.173118270e-03 2.537007679e+00 2.537007679e+00
5.290581162e+01 7.439120396e+00 7.439120396e+00 2.160494136e-03 2.558719110e+00 2.558719110e+00
5.350701403e+01 7.417547418e+00 7.417547418e+00 2.147979188e-03 2.580304603e+00 2.580304603e+00
5.410821643e+01 7.396099179e+00 7.396099179e+00 2.135572474e-03 2.601765248e+00 2.601765248e+00
5.470941884e+01 7.374774601e+00 7.374774601e+00 2.123273546e-03 2.623102125e+00 2.623102125e+00
5.531062124e+01 7.353572617e+00 7.353572617e+00 2.111080758e-03 2.644316302e+00 2.644316302e+00
5.591182365e+01 7.332492172e+00 7.332492172e+00 2.098993059e-03 2.665408835e+00 2.665408835e+00
